     Leche evaporada ;138;7;7,9;240;0,2;320;0,05;0,35;0,2;1
     Leche en polvo ;492;26;27;897;0,2;1080;0,24;1,31;0,7;4
     Queso ;341;34;21;950;1,4;950;0,02;0,61;0,2;0
     Cebolla ;37;1,3;0,2;30;0,5;50;0,03;0,04;0,2;8
     Ají pimiento ;24;1,1;0,2;6;0,7;505;0,05;0,06;0,8;87
     Repollo ;17;1,1;0,1;35;0,3;70;0,04;0,03;0,2;35
     Tomate ;19;1,1;0,3;11;0,6;680;0,06;0,04;0,5;23
     Zanahoria ;37;1;0,2;31;0,7;1840;0,06;0,04;0,6;6
     Lechuga ;10;0,9;0,1;17;0,3;170;0,03;0,06;0,1;12
     Ajos ;137;6,2;0,2;29;1,5;0;0,25;0,08;1,2;-
     Remolacha ;32;1,3;0,1;20;0,7;15;0,01;0,04;0,3;7
     Pepino ;10;0,6;0,1;7;0,2;0;0,02;0,03;0,1;6
     Apio ;12;0,7;0,1;31;0,3;0;0,03;0,02;0,2;4
     Chayote ;26;0,8;0,2;9;0,5;30;0,02;0,03;0,3;12
     Otras hortalizas frescas (6);22;1,4;0,2;51;1,1;1900;0,06;0,07;0,5;30
     Conservas ;23;1,2;0,2;15;0,8;938;0,04;0,04;0,7;2
     Sandías ;13;0,3;0,1;3;0,2;90;0,02;0,02;0,1;3
     Piñas;30;0,3;0,1;12;0,3;60;0,05;0,02;0,1;26
     Plátanos ;75;0,8;0,3;5;0,5;220;0,04;0,03;0,4;11
     Derivados del plátano ;305;2,8;0,4;22;1,3;190;0,09;0,07;1,3;0
     Bananos o guineos ;67;0,9;0,3;6;0,4;140;0,03;0,04;0,5;8
     Aguacates ;111;1,1;11;9;0,5;180;0,05;0,2;1;8
     Naranjas ;32;0,6;0,1;24;0,3;120;0,06;0,02;0,1;36
     Melones ;14;0,4;0,1;11;0,2;670;0,03;0,02;0,3;17
     Papayas ;26;0,4;0,1;16;0,3;660;0,02;0,03;0,3;42
     Manzanas ;49;0,3;0,3;5;0,3;80;0,03;0,03;0,2;4
     Peras ;50;0,4;0,3;11;0,2;20;0,02;0,03;0,1;3
     Uvas ;62;0,7;0,4;16;0,6;70;0,06;0,04;0,2;4
     Uvas pasas ;56;1,4;0,4;35;0,9;120;0,04;0,02;0,1;35
     Mangos ;40;0,4;0,1;7;0,2;1180;0,03;0,04;0,4;30
     Mameyes ;30;0,4;0,2;8;0,2;170;0,01;0,02;0,3;9
     Otras frutas tropicales ;41;0,5;0,7;14;0,3;400;0,03;0,03;0,3;24
     Otras frutas no tropicales ;52;0,6;0,6;13;0,4;347;0,04;0,04;0,3;11
     Frutas secas ;255;2,5;0,6;73;2,7;70;0,1;0,1;1,5;0
     Frutas en conservas ;73;0,5;0,1;22;0,9;188;0,28;0,2;0,3;5
     Aceites vegetales ;884;0;100;0;0;0;0;0;0;0
     Mantequilla y margarina ;718;0,6;81;15;0;3200;0;0;0;0
     Cerveza (7) ;28;0;0;6;0,1;0;0,01;0,03;0,3;0
     Vinos (7) ;78;0;0;0;0;0;0;0;0;0
     Licores (7) ;249;0;0;0;0;0;0;0;0;0
     Café (9) ;33;5;1,7;83;3,3;0;0,17;0,17;15;0
     Café tostado;226;12,6;14,8;148;2,9;-;0,07;0,05;17;0
     Extracto de café ;129;-;-;179;5,6;0;0;0,21;30,6;0
     Cacao en polvo ;456;12;46,3;106;3,6;15;0,17;0,14;1,7;3
     Cacao en grano ;351;8;24;125;11,6;30;0,1;0,36;1,7;0
     Torta y pasta de cacao ;884;0;100;0;0;0;0;0;0;0
     Preparado de chocolate ;248;3,8;16,8;46;2,8;5;0,05;0,09;0,5;0
     Té ;308;8;4;400;11,9;0;0,08;0,73;6,5;5
